KeyName,BatchKeyPath,DisplayName,BatchValueName,InstallTime,PackageRootFolder
Microsoft.BingNews_4.18.41.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingNews_8wekyb3d8bbwe,,Multiple,2017-01-27 17:33:42.5799628,
Microsoft.BingNews_4.18.41.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingNews_8wekyb3d8bbwe,@{Microsoft.BingNews_4.18.41.0_x86__8wekyb3d8bbwe?ms-resource://Microsoft.BingNews/Resources/ApplicationTitleWithBranding},Multiple,2017-01-27 17:33:42.5799628,C:\Program Files\WindowsApps\Microsoft.BingNews_4.18.41.0_x86__8wekyb3d8bbwe
Microsoft.BingSports_4.18.37.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingSports_8wekyb3d8bbwe,,Multiple,2017-01-27 17:33:06.2919266,
Microsoft.BingSports_4.18.37.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingSports_8wekyb3d8bbwe,@{Microsoft.BingSports_4.18.37.0_x86__8wekyb3d8bbwe?ms-resource://Microsoft.BingSports/Resources/ApplicationTitleWithBranding},Multiple,2017-01-27 17:33:06.2919266,C:\Program Files\WindowsApps\Microsoft.BingSports_4.18.37.0_x86__8wekyb3d8bbwe
Microsoft.BingWeather_4.18.37.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingWeather_8wekyb3d8bbwe,,Multiple,2017-01-27 17:33:53.4521869,
Microsoft.BingWeather_4.18.37.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingWeather_8wekyb3d8bbwe,@{Microsoft.BingWeather_4.18.37.0_x86__8wekyb3d8bbwe?ms-resource://Microsoft.BingWeather/Resources/ApplicationTitleWithBranding},Multiple,2017-01-27 17:33:53.3897873,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.18.37.0_x86__8wekyb3d8bbwe
Microsoft.BioEnrollment_10.0.14393.0_neutral__cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BioEnrollment_cw5n1h2txyewy,@{Microsoft.BioEnrollment_10.0.14393.0_neutral__cw5n1h2txyewy?ms-resource://Microsoft.BioEnrollment/Resources/AppDisplayName},Multiple,2017-01-27 16:54:54.6426255,C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy
Microsoft.CommsPhone_1.10.23004.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.CommsPhone_8wekyb3d8bbwe,,Multiple,2017-01-27 17:12:46.6616454,
Microsoft.CommsPhone_1.10.23004.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.CommsPhone_8wekyb3d8bbwe,@{Microsoft.CommsPhone_1.10.23004.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.CommsPhone/Resources/AppStoreName},Multiple,2017-01-27 17:12:46.6576402,C:\Program Files\WindowsApps\Microsoft.CommsPhone_1.10.23004.0_x64__8wekyb3d8bbwe
Microsoft.ConnectivityStore_1.1604.4.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.ConnectivityStore_8wekyb3d8bbwe,,Multiple,2017-01-27 17:29:20.5606743,
Microsoft.ConnectivityStore_1.1604.4.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.ConnectivityStore_8wekyb3d8bbwe,@{Microsoft.ConnectivityStore_1.1604.4.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ConnectivityStore/MSWifiResources/AppStoreName},Multiple,2017-01-27 17:29:20.5581669,C:\Program Files\WindowsApps\Microsoft.ConnectivityStore_1.1604.4.0_x64__8wekyb3d8bbwe
Microsoft.DesktopAppInstaller_1.0.2181.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe,,Multiple,2017-01-27 17:29:04.8019396,
Microsoft.DesktopAppInstaller_1.0.2181.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe,@{Microsoft.DesktopAppInstaller_1.0.2181.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.DesktopAppInstaller/Resources/appDisplayName},Multiple,2017-01-27 17:29:04.7979353,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.0.2181.0_x64__8wekyb3d8bbwe
Microsoft.Getstarted_4.4.11.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Getstarted_8wekyb3d8bbwe,@{Microsoft.Getstarted_4.4.11.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Getstarted/Resources/AppStoreName},Multiple,2017-01-27 17:34:06.2603659,C:\Program Files\WindowsApps\Microsoft.Getstarted_4.4.11.0_x64__8wekyb3d8bbwe
Microsoft.LockApp_10.0.14393.0_neutral__cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.LockApp_cw5n1h2txyewy,@{Microsoft.LockApp_10.0.14393.0_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName},Multiple,2017-01-27 16:55:14.7073725,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy
Microsoft.Messaging_3.19.1001.0_neutral_split.scale-150_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Messaging_8wekyb3d8bbwe,,Multiple,2017-01-27 17:12:33.4363579,
Microsoft.Messaging_3.19.1001.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Messaging_8wekyb3d8bbwe,@{Microsoft.Messaging_3.19.1001.0_x86__8wekyb3d8bbwe?ms-resource://Microsoft.Messaging/Resources/AppStoreName},Multiple,2017-01-27 17:12:33.4363579,C:\Program Files\WindowsApps\Microsoft.Messaging_3.19.1001.0_x86__8wekyb3d8bbwe
Microsoft.MicrosoftEdge_38.14393.0.0_neutral__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,@{Microsoft.MicrosoftEdge_38.14393.0.0_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdge/Resources/AppName},Multiple,2017-01-27 16:55:16.0199054,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe
Microsoft.MicrosoftOfficeHub_17.7608.23501.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,@{Microsoft.MicrosoftOfficeHub_17.7608.23501.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftOfficeHub/officehubintl/AppManifest_GetOffice_DisplayName},Multiple,2017-01-27 17:29:31.3394442,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7608.23501.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftSolitaireCollection_3.12.12200.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe,,Multiple,2017-01-27 17:31:48.7104386,
Microsoft.MicrosoftSolitaireCollection_3.12.12200.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe,Microsoft Solitaire Collection,Multiple,2017-01-27 17:31:48.7064331,C:\Program Files\WindowsApps\Microsoft.MicrosoftSolitaireCollection_3.12.12200.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftStickyNotes_1.4.7.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe,,Multiple,2017-01-27 17:32:40.8889666,
Microsoft.MicrosoftStickyNotes_1.4.7.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe,Microsoft Sticky Notes,Multiple,2017-01-27 17:32:40.8889666,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_1.4.7.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Framework.1.3_8wekyb3d8bbwe,Microsoft .Net Native Framework Package 1.3,Multiple,2017-01-27 16:55:31.4434422,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Framework.1.3_8wekyb3d8bbwe,Microsoft .Net Native Framework Package 1.3,Multiple,2017-01-27 16:55:31.1310216,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.3_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.3,Multiple,2017-01-27 16:55:32.5061645,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.3_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.3,Multiple,2017-01-27 16:55:31.8184860,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.4_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.4,Multiple,2017-01-27 17:12:01.7423304,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.4_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.4,Multiple,2017-01-27 17:12:01.6954796,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x86__8wekyb3d8bbwe
Microsoft.Office.OneNote_17.7766.57821.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Office.OneNote_8wekyb3d8bbwe,OneNote,Multiple,2017-02-02 21:27:23.6152252,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_17.7766.57821.0_x64__8wekyb3d8bbwe
Microsoft.Office.Sway_17.7766.45161.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Office.Sway_8wekyb3d8bbwe,Sway,Multiple,2017-01-27 17:30:39.5725681,C:\Program Files\WindowsApps\Microsoft.Office.Sway_17.7766.45161.0_x64__8wekyb3d8bbwe
Microsoft.OneConnect_1.1607.6.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.OneConnect_8wekyb3d8bbwe,,Multiple,2017-01-27 17:30:01.7157269,
Microsoft.OneConnect_1.1607.6.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.OneConnect_8wekyb3d8bbwe,@{Microsoft.OneConnect_1.1607.6.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.OneConnect/OneConnect/AppStoreName},Multiple,2017-01-27 17:30:01.7157269,C:\Program Files\WindowsApps\Microsoft.OneConnect_1.1607.6.0_x64__8wekyb3d8bbwe
Microsoft.People_10.1.3410.0_neutral_split.scale-125_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.People_8wekyb3d8bbwe,,Multiple,2017-01-27 17:34:25.9716747,
Microsoft.People_10.1.3410.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.People_8wekyb3d8bbwe,@{Microsoft.People_10.1.3410.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.People/Resources/AppStoreName},Multiple,2017-01-27 17:34:25.9677003,C:\Program Files\WindowsApps\Microsoft.People_10.1.3410.0_x64__8wekyb3d8bbwe
Microsoft.PPIProjection_10.0.14393.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.PPIProjection_cw5n1h2txyewy,@{Microsoft.PPIProjection_10.0.14393.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.PPIProjection/resources/ProductName},Multiple,2017-01-27 16:55:16.5199597,C:\Windows\SystemApps\Microsoft.PPIProjection_cw5n1h2txyewy
Microsoft.Services.Store.Engagement_10.0.1610.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Services.Store.Engagement_8wekyb3d8bbwe,Microsoft Engagement Framework,Multiple,2017-01-27 17:11:59.6932436,C:\Program Files\WindowsApps\Microsoft.Services.Store.Engagement_10.0.1610.0_x64__8wekyb3d8bbwe
Microsoft.Services.Store.Engagement_10.0.1610.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Services.Store.Engagement_8wekyb3d8bbwe,Microsoft Engagement Framework,Multiple,2017-01-27 17:11:59.6307429,C:\Program Files\WindowsApps\Microsoft.Services.Store.Engagement_10.0.1610.0_x86__8wekyb3d8bbwe
Microsoft.SkypeApp_11.10.152.0_neutral_split.scale-125_kzf8qxf38zg5c,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.SkypeApp_kzf8qxf38zg5c,,Multiple,2017-01-27 17:33:03.1768799,
Microsoft.SkypeApp_11.10.152.0_x64__kzf8qxf38zg5c,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.SkypeApp_kzf8qxf38zg5c,@{Microsoft.SkypeApp_11.10.152.0_x64__kzf8qxf38zg5c?ms-resource://Microsoft.SkypeApp/Resources/SkypeVideo_ProductName},Multiple,2017-01-27 17:33:03.1728657,C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.10.152.0_x64__kzf8qxf38zg5c
Microsoft.StorePurchaseApp_11608.1000.2431.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.StorePurchaseApp_8wekyb3d8bbwe,Store Purchase App,Multiple,2017-01-27 17:29:00.3101129,C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_11608.1000.2431.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00_14.0.24123.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.VCLibs.140.00_8wekyb3d8bbwe,Microsoft Visual C++ 2015 UWP Runtime Package,Multiple,2017-01-27 16:55:28.0213126,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.24123.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00_14.0.24123.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.VCLibs.140.00_8wekyb3d8bbwe,Microsoft Visual C++ 2015 UWP Runtime Package,Multiple,2017-01-27 16:55:28.0993131,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.24123.0_x86__8wekyb3d8bbwe
Microsoft.Windows.Apprep.ChxApp_1000.14393.0.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy,@{Microsoft.Windows.Apprep.ChxApp_1000.14393.0.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Apprep.ChxApp/resources/DisplayName},Multiple,2017-01-27 16:55:17.5981993,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy
Microsoft.Windows.AssignedAccessLockApp_1000.14393.0.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.AssignedAccessLockApp_cw5n1h2txyewy,@{Microsoft.Windows.AssignedAccessLockApp_1000.14393.0.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.AssignedAccessLockApp/Resources/PackageDisplayName},Multiple,2017-01-27 16:55:18.3014981,C:\Windows\SystemApps\Microsoft.Windows.AssignedAccessLockApp_cw5n1h2txyewy
Microsoft.Windows.CloudExperienceHost_10.0.14393.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,@{Microsoft.Windows.CloudExperienceHost_10.0.14393.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription},Multiple,2017-01-27 16:54:55.7833753,C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.ContentDeliveryManager_10.0.14393.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,@{Microsoft.Windows.ContentDeliveryManager_10.0.14393.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName},Multiple,2017-01-27 16:55:19.2702764,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy
Microsoft.Windows.Cortana_1.7.0.14393_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.Cortana_cw5n1h2txyewy,@{Microsoft.Windows.Cortana_1.7.0.14393_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Cortana/resources/PackageDisplayName},Multiple,2017-01-27 16:55:10.8787250,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy
