BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\FlfgrzNccf\FuryyRkcrevraprUbfg_pj5a1u2gklrjl\FuryyRkcrevraprUbfg.rkr,{Windows}\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,37,"0d, 0h, 22m, 49s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.ZvpebfbsgRqtr_8jrxlo3q8oojr!ZvpebfbsgRqtr,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,3,10,"0d, 0h, 02m, 10s",2017-02-01 17:21:10.1690000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\FlfgrzFrggvatfOebxre.rkr,{System}\SystemSettingsBroker.exe,0,1,"0d, 0h, 00m, 27s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\PerqragvnyHVOebxre.rkr,{System}\CredentialUIBroker.exe,0,5,"0d, 0h, 01m, 15s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Fnenu Z\Qbjaybnqf\PuebzrFrghc.rkr,C:\Users\Sarah M\Downloads\ChromeSetup.exe,1,0,"0d, 0h, 00m, 00s",2017-01-27 00:54:30.1040000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\THZ2QSO.gzc\TbbtyrHcqngr.rkr,{ProgramFilesX86}\GUM2DFB.tmp\GoogleUpdate.exe,0,0,"0d, 0h, 00m, 03s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\Tbbtyr\Hcqngr\TbbtyrHcqngr.rkr,{ProgramFilesX86}\Google\Update\GoogleUpdate.exe,0,1,"0d, 0h, 00m, 17s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Puebzr,Chrome,17,69,"0d, 4h, 28m, 48s",2017-02-02 21:57:10.7570000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zfqg.rkr,{System}\msdt.exe,0,2,"0d, 0h, 00m, 34s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\UC\UC Ubgxrl Fhccbeg\UCFlfVasb.rkr,{ProgramFilesX86}\HP\HP Hotkey Support\HPSysInfo.exe,0,1,"0d, 0h, 00m, 05s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Fnenu Z\Qbjaybnqf\FxlcrFrghcShyy.rkr,C:\Users\Sarah M\Downloads\SkypeSetupFull.exe,0,1,"0d, 0h, 00m, 17s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Fxlcr.Qrfxgbc.Nccyvpngvba,Skype.Desktop.Application,3,18,"0d, 0h, 22m, 35s",2017-01-31 19:26:31.0620000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfSrrqonpxUho_8jrxlo3q8oojr!Ncc,Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App,2,3,"0d, 0h, 01m, 00s",2017-01-27 16:53:38.7561988
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Rkcybere,Microsoft.Windows.Explorer,18,25,"0d, 0h, 07m, 46s",2017-02-02 22:38:58.6570000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Cubgbf_8jrxlo3q8oojr!Ncc,Microsoft.Windows.Photos_8wekyb3d8bbwe!App,0,3,"0d, 0h, 00m, 21s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.JvaqbjfVafgnyyre,Microsoft.Windows.WindowsInstaller,0,0,"0d, 0h, 00m, 02s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\BcraJvgu.rkr,{System}\OpenWith.exe,0,1,"0d, 0h, 00m, 08s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\Tbbtyr\Puebzr\Nccyvpngvba\puebzr.rkr,{ProgramFilesX86}\Google\Chrome\Application\chrome.exe,1,0,"0d, 0h, 00m, 00s",2017-01-31 19:10:30.5010000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.NhgbTrarengrq.{O0S2612S-45NS-O0RQ-P48R-3R6089R66PQ2},Microsoft.AutoGenerated.{Unmapped GUID: B0F2612F-45AF-B0ED-C48E-3E6089E66CD2},0,1,"0d, 0h, 00m, 04s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\pzq.rkr,{System}\cmd.exe,0,0,"0d, 0h, 00m, 01s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Fnenu Z\Qbjaybnqf\cvqtva-2.11.0.rkr,C:\Users\Sarah M\Downloads\pidgin-2.11.0.exe,0,1,"0d, 0h, 01m, 03s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Fnenu Z\NccQngn\Ebnzvat\Zvpebfbsg\Jvaqbjf\Cvqtva\cvqtva.rkr,C:\Users\Sarah M\AppData\Roaming\Microsoft\Windows\Pidgin\pidgin.exe,8,12,"0d, 1h, 08m, 22s",2017-02-02 21:25:05.0970000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Fnenu Z\Qbjaybnqf\cvqtva-2.11.0 (1).rkr,C:\Users\Sarah M\Downloads\pidgin-2.11.0 (1).exe,0,1,"0d, 0h, 00m, 05s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Fnenu Z\NccQngn\Ybpny\FdhveeryGrzc\Hcqngr.rkr,C:\Users\Sarah M\AppData\Local\SquirrelTemp\Update.exe,0,1,"0d, 0h, 00m, 04s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,pbz.fdhveery.lnubbzrffratre.LnubbZrffratre,com.squirrel.yahoomessenger.YahooMessenger,1,6,"0d, 0h, 10m, 47s",2017-02-02 22:49:04.0510000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Favccvat Gbby.yax,{Common Programs}\Accessories\Snipping Tool.lnk,9,0,"0d, 0h, 00m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,77,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Cnvag.yax,{Common Programs}\Accessories\Paint.lnk,8,0,"0d, 0h, 00m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{N77S5Q77-2R2O-44P3-N6N2-NON601054N51}\Npprffbevrf\Abgrcnq.yax,{Programs}\Accessories\Notepad.lnk,7,0,"0d, 0h, 00m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Fgvpxl Abgrf.yax,{Common Programs}\Accessories\Sticky Notes.lnk,6,0,"0d, 0h, 00m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{9R3995NO-1S9P-4S13-O827-48O24O6P7174}\GnfxOne\Tbbtyr Puebzr.yax,{User Pinned}\TaskBar\Google Chrome.lnk,17,0,"0d, 0h, 00m, 00s",2017-02-02 21:57:10.7570000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{9R3995NO-1S9P-4S13-O827-48O24O6P7174}\GnfxOne\Svyr Rkcybere.yax,{User Pinned}\TaskBar\File Explorer.lnk,18,0,"0d, 0h, 00m, 00s",2017-02-02 22:38:58.6570000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,P:\Hfref\Choyvp\Qrfxgbc\Fxlcr.yax,C:\Users\Public\Desktop\Skype.lnk,2,0,"0d, 0h, 00m, 00s",2017-01-31 18:59:38.9780000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Fxlcr\Fxlcr.yax,{Common Programs}\Skype\Skype.lnk,1,0,"0d, 0h, 00m, 00s",2017-01-31 19:26:31.0620000
