Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,19,19,Snowy Owl Care.pdf,Snowy Owl Care.lnk,6,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,17,17,My New Pet.jpg,My New Pet.lnk,7,,2017-02-02 22:38:25.8393875
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,16,16,Next pet,Next pet.lnk,8,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,Downloads,Downloads.lnk,9,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,13,13,Owl_Keeping.pdf,Owl_Keeping.lnk,10,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,The Internet,The Internet.lnk,11,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,9,9,?LinkID=219472&clcid=0x409,http--go.microsoft.com-fwlink-LinkID=219472&clcid=0x409.lnk,12,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,11,11,Background.jpg,Background.lnk,13,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,10,Cool picture of a tiger maybe wallhanging.jpg,Cool picture of a tiger maybe wallhanging.lnk,14,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,network-wifi,ms-settingsnetwork-wifi.lnk,15,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,5,pets,pets.lnk,16,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,6,6,Great Horned Owl.jpg,Great Horned Owl.lnk,17,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,8,8,Pygmy Owl.jpg,Pygmy Owl.lnk,18,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,7,Snowy Owl.jpg,Snowy Owl.lnk,19,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,4,Great Horned Owl Info.pdf,Great Horned Owl Info.lnk,20,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,Luna Owl.jpg,Luna Owl.lnk,21,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,3,3,New Pet Care,New Pet Care.lnk,0,2017-02-02 22:39:08.6209908,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,4,4," (F:)"," (F).lnk",1,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Downloads,Downloads.lnk,2,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,The Internet,The Internet.lnk,3,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,2,2,pets,pets.lnk,4,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,1,1,Owl_Emergency_Care.pdf,Owl_Emergency_Care.lnk,0,2017-02-02 22:39:08.6034433,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,3,3,Snowy_Owl.pdf,Snowy_Owl.lnk,1,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,4,4,Snowy Owl Care.pdf,Snowy Owl Care.lnk,2,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,2,2,Owl_Keeping.pdf,Owl_Keeping.lnk,3,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,0,0,Great Horned Owl Info.pdf,Great Horned Owl Info.lnk,4,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,6,6,My New Pet.jpg,My New Pet.lnk,0,2017-02-02 22:38:25.8393875,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,5,5,Background.jpg,Background.lnk,1,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,4,4,Cool picture of a tiger maybe wallhanging.jpg,Cool picture of a tiger maybe wallhanging.lnk,2,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,1,Great Horned Owl.jpg,Great Horned Owl.lnk,3,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,3,3,Pygmy Owl.jpg,Pygmy Owl.lnk,4,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,2,2,Snowy Owl.jpg,Snowy Owl.lnk,5,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,0,Luna Owl.jpg,Luna Owl.lnk,6,,
.html,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.html,1,1,what is this.html,what is this.lnk,0,2017-02-02 22:52:25.4853535,
.html,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.html,0,0,WOLf Awsome.html,WOLf Awsome.lnk,1,,
.html,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.html,1,1,what is this.html,what is this.lnk,0,2017-02-02 22:52:25.4853535,
.html,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.html,0,0,WOLf Awsome.html,WOLf Awsome.lnk,1,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,6,6,My New Pet.jpg,My New Pet.lnk,0,2017-02-02 22:38:25.8393875,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,5,5,Background.jpg,Background.lnk,1,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,4,4,Cool picture of a tiger maybe wallhanging.jpg,Cool picture of a tiger maybe wallhanging.lnk,2,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,1,Great Horned Owl.jpg,Great Horned Owl.lnk,3,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,3,3,Pygmy Owl.jpg,Pygmy Owl.lnk,4,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,2,2,Snowy Owl.jpg,Snowy Owl.lnk,5,,
.jpg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,0,Luna Owl.jpg,Luna Owl.lnk,6,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,1,1,Owl_Emergency_Care.pdf,Owl_Emergency_Care.lnk,0,2017-02-02 22:39:08.6034433,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,3,3,Snowy_Owl.pdf,Snowy_Owl.lnk,1,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,4,4,Snowy Owl Care.pdf,Snowy Owl Care.lnk,2,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,2,2,Owl_Keeping.pdf,Owl_Keeping.lnk,3,,
.pdf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,0,0,Great Horned Owl Info.pdf,Great Horned Owl Info.lnk,4,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,3,3,New Pet Care,New Pet Care.lnk,0,2017-02-02 22:39:08.6209908,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,4,4," (F:)"," (F).lnk",1,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Downloads,Downloads.lnk,2,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,The Internet,The Internet.lnk,3,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,2,2,pets,pets.lnk,4,,
