SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Pygmy Owl.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-27 17:19:14,2017-01-27 17:19:16,2017-01-27 17:19:14,94519,..\..\..\..\..\Desktop\pets\Pygmy Owl.jpg,C:\Users\Sarah M\Desktop\pets,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\pets\Pygmy Owl.jpg,,,,This PC\Desktop\pets\Pygmy Owl.jpg,0x15E66,0x7,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-27 16:52:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Luna Owl.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Downloads\Luna Owl.jpg,C:\Users\Sarah M\Downloads,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Downloads\Luna Owl.jpg,,,,This PC\Downloads\Luna Owl.jpg,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/My New Pet.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-02-02 21:37:40,2017-02-02 21:37:30,2017-02-02 05:00:00,58248,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",80BC89A2,,F:\My New Pet.jpg,,,,F:\My New Pet.jpg,0x3981E0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Snowy Owl Care.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-02-02 21:38:22,2017-02-02 21:38:12,2017-02-02 05:00:00,593265,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",80BC89A2,,F:\Snowy Owl Care.pdf,,,,F:\Snowy Owl Care.pdf,0x398320,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/The Internet.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Folder,,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Owl_Emergency_Care.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-31 19:10:07,2017-01-31 19:09:01,2017-01-31 19:10:07,142534,..\..\..\..\..\Documents\New Pet Care\Owl_Emergency_Care.pdf,C:\Users\Sarah M\Documents\New Pet Care,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Documents\New Pet Care\Owl_Emergency_Care.pdf,,,,This PC\Documents\New Pet Care\Owl_Emergency_Care.pdf,0x24121,0x9,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-30 22:46:58,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/WOLf Awsome.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Desktop\WOLf Awsome.html,C:\Users\Sarah M\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\WOLf Awsome.html,,,,This PC\Desktop\WOLf Awsome.html,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/pets.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-27 17:19:59,2017-01-27 17:20:24,2017-01-27 17:20:24,4096,..\..\..\..\..\Desktop\pets,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\pets,,,,This PC\Desktop\pets,0x2FC7B,0x9,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-27 16:52:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Cool picture of a tiger maybe wallhanging.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Downloads\Cool picture of a tiger maybe wallhanging.jpg,C:\Users\Sarah M\Downloads,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Downloads\Cool picture of a tiger maybe wallhanging.jpg,,,,This PC\Downloads\Cool picture of a tiger maybe wallhanging.jpg,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/http--go.microsoft.com-fwlink-LinkID=219472&clcid=0x409.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Folder\http://go.microsoft.com/fwlink/?LinkID=219472&clcid=0x409,,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/ms-settingsnetwork-wifi.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Folder\ms-settings:network-wifi,,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Snowy_Owl.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-02-02 22:01:00,2017-01-31 19:15:06,2017-02-02 05:00:00,593265,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",80BC89A2,,F:\Snowy_Owl.pdf,,,,F:\Snowy_Owl.pdf,0x3983C0,,,,,,
