Old package separator "'" deprecated at /usr/bin/mactime line 154.
Old package separator "'" deprecated at /usr/bin/mactime line 167.
Date,Size,Type,Mode,UID,GID,Meta,File Name
Xxx Xxx 00 0000 00:00:00,853839,..c.,r/rrwxrwxrwx,0,0,1044,"/DCIM/100CANON/IMG_0016.JPG"
Xxx Xxx 00 0000 00:00:00,795574,..c.,r/rrwxrwxrwx,0,0,1045,"/DCIM/100CANON/IMG_0017.JPG"
Xxx Xxx 00 0000 00:00:00,784455,..c.,r/rrwxrwxrwx,0,0,1046,"/DCIM/100CANON/IMG_0018.JPG"
Xxx Xxx 00 0000 00:00:00,864257,..c.,r/rrwxrwxrwx,0,0,1047,"/DCIM/100CANON/IMG_0019.JPG"
Xxx Xxx 00 0000 00:00:00,130418,..c.,r/rrwxrwxrwx,0,0,1048,"/DCIM/100CANON/IMG_0051.JPG"
Xxx Xxx 00 0000 00:00:00,819599,..c.,r/rrwxrwxrwx,0,0,1049,"/DCIM/100CANON/IMG_0021.JPG"
Xxx Xxx 00 0000 00:00:00,728696,..c.,r/rrwxrwxrwx,0,0,1050,"/DCIM/100CANON/IMG_0022.JPG"
Xxx Xxx 00 0000 00:00:00,858798,..c.,r/rrwxrwxrwx,0,0,1051,"/DCIM/100CANON/IMG_0023.JPG"
Xxx Xxx 00 0000 00:00:00,838434,..c.,r/rrwxrwxrwx,0,0,1052,"/DCIM/100CANON/IMG_0024.JPG"
Xxx Xxx 00 0000 00:00:00,791333,..c.,r/rrwxrwxrwx,0,0,1053,"/DCIM/100CANON/_MG_0025.JPG (deleted)"
Xxx Xxx 00 0000 00:00:00,768385,..c.,r/rrwxrwxrwx,0,0,1054,"/DCIM/100CANON/IMG_0026.JPG"
Xxx Xxx 00 0000 00:00:00,840253,..c.,r/rrwxrwxrwx,0,0,1055,"/DCIM/100CANON/IMG_0027.JPG"
Xxx Xxx 00 0000 00:00:00,815636,..c.,r/rrwxrwxrwx,0,0,1056,"/DCIM/100CANON/IMG_0028.JPG"
Xxx Xxx 00 0000 00:00:00,861552,..c.,r/rrwxrwxrwx,0,0,1057,"/DCIM/100CANON/IMG_0029.JPG"
Xxx Xxx 00 0000 00:00:00,867833,..c.,r/rrwxrwxrwx,0,0,1058,"/DCIM/100CANON/_MG_0030.JPG (deleted)"
Xxx Xxx 00 0000 00:00:00,749202,..c.,r/rrwxrwxrwx,0,0,1059,"/DCIM/100CANON/IMG_0031.JPG"
Xxx Xxx 00 0000 00:00:00,879834,..c.,r/rrwxrwxrwx,0,0,1060,"/DCIM/100CANON/IMG_0032.JPG"
Xxx Xxx 00 0000 00:00:00,845375,..c.,r/rrwxrwxrwx,0,0,1061,"/DCIM/100CANON/IMG_0033.JPG"
Xxx Xxx 00 0000 00:00:00,812465,..c.,r/rrwxrwxrwx,0,0,1062,"/DCIM/100CANON/IMG_0034.JPG"
Xxx Xxx 00 0000 00:00:00,820105,..c.,r/rrwxrwxrwx,0,0,1063,"/DCIM/100CANON/_MG_0035.JPG (deleted)"
Xxx Xxx 00 0000 00:00:00,882337,..c.,r/rrwxrwxrwx,0,0,1064,"/DCIM/100CANON/IMG_0036.JPG"
Xxx Xxx 00 0000 00:00:00,0,.acb,r/rrwxrwxrwx,0,0,3,"/CANON_DC    (Volume Label Entry)"
Xxx Xxx 00 0000 00:00:00,16384,..c.,d/drwxrwxrwx,0,0,4,"/DCIM"
Xxx Xxx 00 0000 00:00:00,16384,..c.,d/drwxrwxrwx,0,0,517,"/DCIM/100CANON"
Xxx Xxx 00 0000 00:00:00,16384,..c.,d/drwxrwxrwx,0,0,518,"/DCIM/CANONMSC"
Xxx Xxx 00 0000 00:00:00,164,..c.,r/rrwxrwxrwx,0,0,943621,"/DCIM/CANONMSC/M0100.CTG"
Tue Dec 23 2008 00:00:00,1361807,.a..,r/rrwxrwxrwx,0,0,1030,"/DCIM/100CANON/IMG_0042.JPG"
Tue Dec 23 2008 00:00:00,840101,.a..,r/rrwxrwxrwx,0,0,1031,"/DCIM/100CANON/IMG_0003.JPG"
Tue Dec 23 2008 00:00:00,2834018,.a..,r/rrwxrwxrwx,0,0,1032,"/DCIM/100CANON/IMG_0043.JPG"
Tue Dec 23 2008 00:00:00,865313,.a..,r/rrwxrwxrwx,0,0,1035,"/DCIM/100CANON/IMG_0007.JPG"
Tue Dec 23 2008 00:00:00,840692,.a..,r/rrwxrwxrwx,0,0,1037,"/DCIM/100CANON/IMG_0009.JPG"
Tue Dec 23 2008 00:00:00,1296150,.a..,r/rrwxrwxrwx,0,0,1038,"/DCIM/100CANON/IMG_0038.JPG"
Tue Dec 23 2008 00:00:00,771052,.a..,r/rrwxrwxrwx,0,0,1039,"/DCIM/100CANON/IMG_0011.JPG"
Tue Dec 23 2008 00:00:00,842160,.a..,r/rrwxrwxrwx,0,0,1041,"/DCIM/100CANON/IMG_0013.JPG"
Tue Dec 23 2008 00:00:00,853839,.a..,r/rrwxrwxrwx,0,0,1044,"/DCIM/100CANON/IMG_0016.JPG"
Tue Dec 23 2008 00:00:00,795574,.a..,r/rrwxrwxrwx,0,0,1045,"/DCIM/100CANON/IMG_0017.JPG"
Tue Dec 23 2008 00:00:00,784455,.a..,r/rrwxrwxrwx,0,0,1046,"/DCIM/100CANON/IMG_0018.JPG"
Tue Dec 23 2008 00:00:00,864257,.a..,r/rrwxrwxrwx,0,0,1047,"/DCIM/100CANON/IMG_0019.JPG"
Tue Dec 23 2008 00:00:00,819599,.a..,r/rrwxrwxrwx,0,0,1049,"/DCIM/100CANON/IMG_0021.JPG"
Tue Dec 23 2008 00:00:00,728696,.a..,r/rrwxrwxrwx,0,0,1050,"/DCIM/100CANON/IMG_0022.JPG"
Tue Dec 23 2008 00:00:00,858798,.a..,r/rrwxrwxrwx,0,0,1051,"/DCIM/100CANON/IMG_0023.JPG"
Tue Dec 23 2008 00:00:00,838434,.a..,r/rrwxrwxrwx,0,0,1052,"/DCIM/100CANON/IMG_0024.JPG"
Tue Dec 23 2008 00:00:00,791333,.a..,r/rrwxrwxrwx,0,0,1053,"/DCIM/100CANON/_MG_0025.JPG (deleted)"
Tue Dec 23 2008 00:00:00,768385,.a..,r/rrwxrwxrwx,0,0,1054,"/DCIM/100CANON/IMG_0026.JPG"
Tue Dec 23 2008 00:00:00,840253,.a..,r/rrwxrwxrwx,0,0,1055,"/DCIM/100CANON/IMG_0027.JPG"
Tue Dec 23 2008 00:00:00,815636,.a..,r/rrwxrwxrwx,0,0,1056,"/DCIM/100CANON/IMG_0028.JPG"
Tue Dec 23 2008 00:00:00,861552,.a..,r/rrwxrwxrwx,0,0,1057,"/DCIM/100CANON/IMG_0029.JPG"
Tue Dec 23 2008 00:00:00,867833,.a..,r/rrwxrwxrwx,0,0,1058,"/DCIM/100CANON/_MG_0030.JPG (deleted)"
Tue Dec 23 2008 00:00:00,749202,.a..,r/rrwxrwxrwx,0,0,1059,"/DCIM/100CANON/IMG_0031.JPG"
Tue Dec 23 2008 00:00:00,879834,.a..,r/rrwxrwxrwx,0,0,1060,"/DCIM/100CANON/IMG_0032.JPG"
Tue Dec 23 2008 00:00:00,845375,.a..,r/rrwxrwxrwx,0,0,1061,"/DCIM/100CANON/IMG_0033.JPG"
Tue Dec 23 2008 00:00:00,812465,.a..,r/rrwxrwxrwx,0,0,1062,"/DCIM/100CANON/IMG_0034.JPG"
Tue Dec 23 2008 00:00:00,820105,.a..,r/rrwxrwxrwx,0,0,1063,"/DCIM/100CANON/_MG_0035.JPG (deleted)"
Tue Dec 23 2008 00:00:00,882337,.a..,r/rrwxrwxrwx,0,0,1064,"/DCIM/100CANON/IMG_0036.JPG"
Tue Dec 23 2008 00:00:00,16384,.a..,d/drwxrwxrwx,0,0,4,"/DCIM"
Tue Dec 23 2008 00:00:00,16384,.a..,d/drwxrwxrwx,0,0,517,"/DCIM/100CANON"
Tue Dec 23 2008 00:00:00,16384,.a..,d/drwxrwxrwx,0,0,518,"/DCIM/CANONMSC"
Tue Dec 23 2008 14:12:24,0,m...,r/rrwxrwxrwx,0,0,3,"/CANON_DC    (Volume Label Entry)"
Tue Dec 23 2008 14:12:38,16384,m..b,d/drwxrwxrwx,0,0,4,"/DCIM"
Tue Dec 23 2008 14:12:38,16384,m..b,d/drwxrwxrwx,0,0,517,"/DCIM/100CANON"
Tue Dec 23 2008 14:12:52,840101,m..b,r/rrwxrwxrwx,0,0,1031,"/DCIM/100CANON/IMG_0003.JPG"
Tue Dec 23 2008 14:13:12,865313,m..b,r/rrwxrwxrwx,0,0,1035,"/DCIM/100CANON/IMG_0007.JPG"
Tue Dec 23 2008 14:13:22,840692,m..b,r/rrwxrwxrwx,0,0,1037,"/DCIM/100CANON/IMG_0009.JPG"
Tue Dec 23 2008 14:13:30,771052,m..b,r/rrwxrwxrwx,0,0,1039,"/DCIM/100CANON/IMG_0011.JPG"
Tue Dec 23 2008 14:13:40,842160,m..b,r/rrwxrwxrwx,0,0,1041,"/DCIM/100CANON/IMG_0013.JPG"
Tue Dec 23 2008 14:13:56,853839,m..b,r/rrwxrwxrwx,0,0,1044,"/DCIM/100CANON/IMG_0016.JPG"
Tue Dec 23 2008 14:14:00,795574,m..b,r/rrwxrwxrwx,0,0,1045,"/DCIM/100CANON/IMG_0017.JPG"
Tue Dec 23 2008 14:14:06,784455,m..b,r/rrwxrwxrwx,0,0,1046,"/DCIM/100CANON/IMG_0018.JPG"
Tue Dec 23 2008 14:14:10,864257,m..b,r/rrwxrwxrwx,0,0,1047,"/DCIM/100CANON/IMG_0019.JPG"
Tue Dec 23 2008 14:14:20,819599,m..b,r/rrwxrwxrwx,0,0,1049,"/DCIM/100CANON/IMG_0021.JPG"
Tue Dec 23 2008 14:14:26,728696,m..b,r/rrwxrwxrwx,0,0,1050,"/DCIM/100CANON/IMG_0022.JPG"
Tue Dec 23 2008 14:14:30,858798,m..b,r/rrwxrwxrwx,0,0,1051,"/DCIM/100CANON/IMG_0023.JPG"
Tue Dec 23 2008 14:14:36,838434,m..b,r/rrwxrwxrwx,0,0,1052,"/DCIM/100CANON/IMG_0024.JPG"
Tue Dec 23 2008 14:14:40,791333,m..b,r/rrwxrwxrwx,0,0,1053,"/DCIM/100CANON/_MG_0025.JPG (deleted)"
Tue Dec 23 2008 14:14:46,768385,m..b,r/rrwxrwxrwx,0,0,1054,"/DCIM/100CANON/IMG_0026.JPG"
Tue Dec 23 2008 14:14:50,840253,m..b,r/rrwxrwxrwx,0,0,1055,"/DCIM/100CANON/IMG_0027.JPG"
Tue Dec 23 2008 14:14:54,815636,m..b,r/rrwxrwxrwx,0,0,1056,"/DCIM/100CANON/IMG_0028.JPG"
Tue Dec 23 2008 14:14:58,861552,m..b,r/rrwxrwx
